Time_ms,Detrended_Displacement_nm
0.0,-1062.7545405964795
1.0,-1063.3814193128453
2.0,-1064.0082980292113
3.0,-1064.6351767455772
4.0,-1381.758055461943
5.0,-1382.3849341783089
6.0,-1699.506812894675
7.0,-1700.1336916110408
8.0,-1700.7605703274069
9.0,-1701.3874490437727
10.0,-1702.0143277601387
11.0,-1702.6412064765045
12.0,-1703.2680851928706
13.0,-1703.8949639092364
14.0,-1704.5218426256024
15.0,-1705.1487213419682
16.0,-2022.2716000583341
17.0,-2022.8984787747
18.0,-2023.5253574910662
19.0,-2024.152236207432
20.0,-2024.7791149237978
21.0,-2025.4059936401636
22.0,-1709.5368723565298
23.0,-1710.1637510728956
24.0,-1394.2956297892615
25.0,-1394.9225085056273
26.0,-1079.0533872219935
27.0,-1079.6802659383593
28.0,-763.8111446547254
29.0,-764.4380233710912
30.0,-765.0649020874572
31.0,-449.196780803823
32.0,-449.82365952018904
33.0,-450.45053823655485
34.0,-451.0774169529209
35.0,-135.2082956692867
36.0,-135.83517438565275
37.0,-136.46205310201856
38.0,-137.0889318183846
39.0,178.78018946524958
40.0,178.15331074888354
41.0,177.52643203251773
42.0,176.8995533161517
43.0,176.2726745997859
44.0,175.64579588341985
45.0,-141.47708283294594
46.0,-142.10396154931198
47.0,-459.22684026567777
48.0,-459.8537189820438
49.0,-776.9755976984096
50.0,-777.6024764147757
51.0,-778.2293551311415
52.0,-1095.3522338475075
53.0,-1095.9791125638733
54.0,-1413.1019912802394
55.0,-1413.7288699966052
56.0,-1730.8507487129712
57.0,-1731.477627429337
58.0,-2048.600506145703
59.0,-2049.227384862069
60.0,-2366.350263578435
61.0,-2366.9771422948006
62.0,-2684.0990210111668
63.0,-2684.7258997275326
64.0,-2685.3527784438984
65.0,-2685.9796571602647
66.0,-2686.6065358766305
67.0,-2687.2334145929963
68.0,-2687.8602933093625
69.0,-3004.983172025728
70.0,-3005.6100507420942
71.0,-3006.2369294584596
72.0,-3323.359808174826
73.0,-3323.9866868911913
74.0,-3324.6135656075576
75.0,-3325.2404443239234
76.0,-3325.867323040289
77.0,-3326.4942017566555
78.0,-3327.1210804730213
79.0,-3327.747959189387
80.0,-3328.374837905753
81.0,-3329.0017166221187
82.0,-3329.628595338485
83.0,-3330.2554740548508
84.0,-3330.8823527712166
85.0,-3331.509231487583
86.0,-3648.631110203949
87.0,-3332.7629889203145
88.0,-3333.3898676366803
89.0,-3334.016746353046
90.0,-3334.6436250694123
91.0,-3335.270503785778
92.0,-3335.897382502144
93.0,-3020.02826121851
94.0,-3020.655139934876
95.0,-3021.2820186512417
96.0,-2705.412897367608
97.0,-2706.039776083974
98.0,-2390.1716548003396
99.0,-2390.798533516706
100.0,-2391.4254122330713
101.0,-2075.5562909494374
102.0,-2076.1831696658032
103.0,-2076.8100483821695
104.0,-1760.9409270985352
105.0,-1761.5678058149012
106.0,-1445.699684531267
107.0,-1446.3265632476332
108.0,-1446.953441963999
109.0,-1447.5803206803648
110.0,-1448.2071993967306
111.0,-1448.834078113097
112.0,-1449.4609568294627
113.0,-1450.0878355458285
114.0,-1450.7147142621943
115.0,-1451.3415929785606
116.0,-1768.4634716949263
117.0,-1769.0903504112923
118.0,-1769.7172291276581
119.0,-2086.8401078440243
120.0,-2087.46698656039
121.0,-2088.093865276756
122.0,-2088.7207439931217
123.0,-2405.843622709488
124.0,-2406.4705014258534
125.0,-2723.5923801422196
126.0,-2724.219258858586
127.0,-3041.3421375749513
128.0,-3041.9690162913175
129.0,-3359.091895007683
130.0,-3359.7187737240492
131.0,-3676.8406524404154
132.0,-3677.467531156781
133.0,-3678.094409873147
134.0,-3678.7212885895133
135.0,-3679.348167305879
136.0,-3679.975046022245
137.0,-3680.601924738611
138.0,-3681.2288034549765
139.0,-3681.855682171343
140.0,-3998.978560887708
141.0,-3999.6054396040745
142.0,-4000.23231832044
143.0,-4000.859197036806
144.0,-4001.486075753172
145.0,-3685.6169544695385
146.0,-3686.243833185904
147.0,-3686.87071190227
148.0,-3687.497590618636
149.0,-3688.124469335002
150.0,-3372.2563480513672
151.0,-3372.8832267677335
152.0,-3373.5101054840993
153.0,-3374.136984200465
154.0,-3374.7638629168314
155.0,-3375.390741633197
156.0,-3376.017620349563
157.0,-3376.644499065929
158.0,-3060.775377782295
159.0,-3061.402256498661
160.0,-2745.533135215027
161.0,-2429.6650139313924
162.0,-2430.2918926477587
163.0,-2430.9187713641245
164.0,-2431.5456500804903
165.0,-2115.6765287968565
166.0,-2116.3034075132223
167.0,-1800.4342862295882
168.0,-1801.0611649459543
169.0,-1485.1930436623202
170.0,-1485.819922378686
171.0,-1486.4468010950518
172.0,-1487.073679811418
173.0,-1171.2045585277838
174.0,-1171.8314372441498
175.0,-1172.4583159605156
176.0,-1173.0851946768817
177.0,-1173.7120733932475
178.0,-1174.3389521096135
179.0,-1174.9658308259793
180.0,-859.0967095423454
181.0,-859.7235882587112
182.0,-1176.8464669750772
183.0,-1177.473345691443
184.0,-1178.100224407809
185.0,-1495.223103124175
186.0,-1495.8499818405407
187.0,-1496.4768605569066
188.0,-1813.5987392732727
189.0,-1814.2256179896385
190.0,-1814.8524967060046
191.0,-1815.4793754223704
192.0,-1816.1062541387364
193.0,-1816.7331328551022
194.0,-2133.856011571468
195.0,-2134.482890287834
196.0,-2451.6057690042
197.0,-2452.232647720566
198.0,-2452.859526436932
199.0,-2453.4864051532977
200.0,-2454.113283869664
201.0,-2454.7401625860293
202.0,-2455.3670413023956
203.0,-2455.9939200187614
204.0,-2456.620798735127
205.0,-2457.2476774514935
206.0,-2457.8745561678593
207.0,-2774.996434884225
208.0,-2775.6233136005912
209.0,-3092.7461923169567
210.0,-3093.373071033323
211.0,-3093.9999497496888
212.0,-3094.6268284660546
213.0,-2778.7577071824207
214.0,-2779.384585898787
215.0,-2780.0114646151524
216.0,-2780.6383433315186
217.0,-2781.2652220478844
218.0,-2781.8921007642502
219.0,-2782.5189794806165
220.0,-2466.650858196982
221.0,-2467.2777369133482
222.0,-2467.904615629714
223.0,-2468.53149434608
224.0,-2469.158373062446
225.0,-2153.289251778812
226.0,-2153.9161304951776
227.0,-2154.5430092115434
228.0,-1838.6738879279096
229.0,-1522.8057666442755
230.0,-1523.4326453606413
231.0,-1207.5635240770073
232.0,-1208.1904027933733
233.0,-1208.8172815097391
234.0,-892.948160226105
235.0,-893.575038942471
236.0,-577.706917658837
237.0,-578.3337963752028
238.0,-578.9606750915686
239.0,-263.0915538079347
240.0,-263.71843252430074
241.0,52.150688759333434
242.0,368.01881004296774
243.0,367.3919313266017
244.0,683.2610526102355
245.0,682.6341738938697
246.0,682.0072951775039
247.0,681.3804164611379
248.0,680.7535377447721
249.0,363.63065902840617
250.0,363.00378031204036
251.0,362.3769015956743
252.0,361.7500228793085
253.0,361.1231441629425
254.0,360.4962654465767
255.0,359.86938673021064
256.0,359.2425080138448
257.0,358.6156292974788
258.0,357.988750581113
259.0,40.86687186474683
260.0,40.23999314838102
261.0,39.61311443201498
262.0,-277.5097642843508
263.0,-278.13664300071684
264.0,-595.2595217170826
265.0,-595.8864004334487
266.0,-596.5132791498145
267.0,-597.1401578661805
268.0,-914.2620365825463
269.0,-914.8889152989124
270.0,-915.5157940152782
271.0,-916.1426727316442
272.0,-916.76955144801
273.0,-917.396430164376
274.0,-1234.5193088807418
275.0,-1235.1461875971079
276.0,-1235.7730663134737
277.0,-1236.3999450298397
278.0,-1237.0268237462055
279.0,-1237.6537024625716
280.0,-1554.7765811789372
281.0,-1555.4034598953035
282.0,-1556.0303386116693
283.0,-1556.6572173280351
284.0,-1557.284096044401
285.0,-1557.9109747607672
286.0,-1242.041853477133
287.0,-1242.668732193499
288.0,-1243.2956109098648
289.0,-1243.9224896262308
290.0,-1244.5493683425966
291.0,-1245.1762470589626
292.0,-1245.8031257753285
293.0,-1246.4300044916945
294.0,-930.5608832080603
295.0,-931.1877619244264
296.0,-615.3196406407922
297.0,-299.4505193571582
298.0,16.418601926475958
299.0,332.28672321011004
300.0,648.1558444937441
301.0,647.5289657773781
302.0,963.3980870610121
