Time_ms,Detrended_Displacement_nm
0.0,7100.286605799276
1.0,6509.627942519186
2.0,5918.968279239096
3.0,5328.309615959006
4.0,4421.154952678917
5.0,3514.000289398826
6.0,2923.3406261187365
7.0,2649.1779628386457
8.0,792.5362995585565
9.0,518.3726362784664
10.0,-2287.756027001624
11.0,-2245.423690281714
12.0,-4102.065353561805
13.0,-3743.238016841894
14.0,-4333.896680121984
15.0,-4608.060343402075
16.0,-4565.728006682165
17.0,-5472.882669962254
18.0,-5114.054333242345
19.0,-6021.208996522434
20.0,-5345.885659802524
21.0,-6569.536323082614
22.0,-6843.698986362705
23.0,-6801.366649642795
24.0,-6126.043312922885
25.0,-5134.223976202974
26.0,-5091.891639483065
27.0,-3467.0803027631555
28.0,-3424.7479660432455
29.0,-2116.4336293233355
30.0,-3656.5792926034246
31.0,-2031.7689558835154
32.0,-2622.4276191636054
33.0,-997.6172824436944
34.0,-1904.7719457237854
35.0,-1229.4476090038752
36.0,-870.6202722839644
37.0,-1461.2789355640543
38.0,163.53140115585484
39.0,-110.63126212423595
40.0,2463.666074595675
41.0,1873.0074113155852
42.0,3497.8177480354952
43.0,1957.6720847554052
44.0,2949.4914214753153
45.0,1409.3457581952252
46.0,3034.1560949151353
47.0,2443.4974316350454
48.0,2485.8297683549554
49.0,2844.6571050748653
50.0,3836.4764417947754
51.0,3245.8177785146854
52.0,2022.1671152345953
53.0,2064.4994519545053
54.0,1473.8407886744153
55.0,883.1811253943251
56.0,-23.973537885764017
57.0,18.358798834146
58.0,-888.795864445945
59.0,-1162.958527726034
60.0,-2703.105191006127
61.0,-2027.780854286215
62.0,-2618.440517566307
63.0,-1310.1251808463949
64.0,-2217.279844126486
65.0,-908.9645074065738
66.0,-1816.1191706866666
67.0,-1457.291833966754
68.0,-1414.9594972468458
69.0,-1372.627160526934
70.0,-697.3028238070256
71.0,1560.4985129128836
72.0,2235.822849632794
73.0,3227.642186352704
74.0,4219.461523072614
75.0,5211.280859792524
76.0,6203.100196512433
77.0,6245.432533232343
78.0,6920.755869952254
79.0,6963.088206672164
80.0,7638.412543392074
81.0,7364.248880111983
82.0,8356.068216831894
83.0,8081.905553551804
84.0,9073.724890271715
85.0,8166.570226991624
86.0,8208.902563711534
87.0,7618.242900431444
88.0,7344.079237151354
89.0,6120.4295738712635
90.0,4896.778910591174
91.0,4622.615247311084
92.0,4031.9565840309942
93.0,3441.2979207509043
94.0,1584.6552574708148
95.0,1626.9875941907248
96.0,719.8329309106339
97.0,-187.3217323694571
98.0,-461.48439564954606
99.0,-1368.639058929637
100.0,-1326.3067222097252
101.0,-1283.974385489817
102.0,-2191.129048769906
103.0,-2148.796712049998
104.0,-3688.9433753300855
105.0,-3330.115038610178
106.0,-4870.261701890267
107.0,-4827.929365170359
108.0,-5418.588028450446
109.0,-5376.255691730537
110.0,-6599.906355010626
111.0,-7190.565018290719
