Time_ms,Delta_Displacement_nm
341.000,316.496
342.000,316.496
343.000,316.496
344.000,316.496
345.000,316.496
346.000,316.496
347.000,316.496
348.000,316.496
349.000,316.496
350.000,632.991
351.000,632.991
352.000,632.991
353.000,632.991
354.000,632.991
355.000,949.487
356.000,949.487
357.000,949.487
358.000,1265.983
359.000,1265.983
360.000,1265.983
361.000,1582.478
362.000,1582.478
363.000,1582.478
364.000,1582.478
365.000,1582.478
366.000,1582.478
367.000,1582.478
368.000,1582.478
369.000,1582.478
370.000,1582.478
371.000,1265.983
372.000,1265.983
373.000,1265.983
374.000,949.487
375.000,949.487
376.000,632.991
377.000,632.991
378.000,316.496
379.000,316.496
380.000,316.496
381.000,316.496
382.000,0.000
383.000,0.000
384.000,0.000
385.000,0.000
386.000,0.000
387.000,0.000
388.000,0.000
389.000,0.000
390.000,0.000
391.000,-316.496
392.000,0.000
393.000,0.000
394.000,0.000
395.000,0.000
396.000,0.000
397.000,0.000
398.000,0.000
399.000,0.000
400.000,0.000
401.000,0.000
402.000,0.000
403.000,0.000
404.000,0.000
405.000,0.000
406.000,0.000
407.000,316.496
408.000,316.496
409.000,316.496
410.000,316.496
411.000,316.496
412.000,316.496
413.000,316.496
414.000,316.496
415.000,316.496
416.000,316.496
417.000,316.496
418.000,316.496
419.000,316.496
420.000,316.496
421.000,316.496
422.000,316.496
423.000,316.496
424.000,316.496
425.000,316.496
426.000,316.496
427.000,316.496
428.000,316.496
429.000,316.496
430.000,0.000
431.000,0.000
432.000,0.000
433.000,0.000
434.000,0.000
435.000,316.496
436.000,316.496
437.000,316.496
438.000,316.496
439.000,316.496
440.000,316.496
441.000,316.496
442.000,316.496
443.000,316.496
444.000,316.496
445.000,0.000
446.000,0.000
447.000,0.000
448.000,0.000
449.000,0.000
450.000,0.000
451.000,-316.496
452.000,-316.496
453.000,-316.496
454.000,-316.496
455.000,-316.496
456.000,-316.496
457.000,-316.496
458.000,-316.496
459.000,-316.496
460.000,-316.496
461.000,-316.496
462.000,0.000
463.000,0.000
464.000,0.000
465.000,0.000
466.000,0.000
467.000,0.000
468.000,316.496
469.000,316.496
470.000,316.496
471.000,316.496
472.000,316.496
473.000,316.496
474.000,316.496
475.000,316.496
476.000,316.496
477.000,316.496
478.000,316.496
479.000,316.496
480.000,316.496
481.000,316.496
482.000,316.496
483.000,316.496
484.000,316.496
485.000,316.496
486.000,316.496
487.000,316.496
488.000,316.496
489.000,316.496
490.000,316.496
491.000,316.496
492.000,0.000
493.000,0.000
494.000,0.000
495.000,0.000
496.000,0.000
497.000,0.000
498.000,-316.496
499.000,-316.496
500.000,-316.496
501.000,-632.991
502.000,-632.991
503.000,-632.991
504.000,-632.991
505.000,-632.991
506.000,-632.991
507.000,-632.991
508.000,-632.991
509.000,-632.991
510.000,-632.991
511.000,-316.496
512.000,-316.496
513.000,-316.496
514.000,-316.496
515.000,-632.991
516.000,-632.991
517.000,-632.991
518.000,-632.991
519.000,-632.991
520.000,-632.991
521.000,-632.991
522.000,-632.991
523.000,-632.991
524.000,-632.991
525.000,-632.991
526.000,-632.991
527.000,-632.991
528.000,-632.991
529.000,-632.991
530.000,-632.991
531.000,-632.991
532.000,-632.991
533.000,-316.496
534.000,-316.496
535.000,-316.496
536.000,-316.496
537.000,-316.496
538.000,0.000
539.000,0.000
540.000,0.000
541.000,0.000
542.000,0.000
543.000,0.000
544.000,0.000
545.000,0.000
546.000,0.000
547.000,0.000
