Time_ms,Detrended_Displacement_nm
0.0,-3047.2946543828734
1.0,1696.566314374748
2.0,7706.410283132367
3.0,10551.29725188999
4.0,14978.663220647612
5.0,17507.055189405233
6.0,15604.50615816285
7.0,13068.967126920474
8.0,12432.402095678095
9.0,14960.793064435715
10.0,18755.16703319334
11.0,16536.124001950957
12.0,10202.635970708578
13.0,-561.7920605338013
14.0,-11642.715091776181
15.0,-12595.776123018559
16.0,-7851.9141542609395
17.0,-9437.967185503318
18.0,-18303.420216745697
19.0,-22737.934247988076
20.0,-18943.559279230456
21.0,-9452.263310472834
22.0,672.0246582847863
23.0,-1547.0193729575926
24.0,-17058.881404199972
25.0,-30355.274435442352
26.0,-25294.917466684732
27.0,-2194.306497927109
28.0,15525.87747083051
29.0,16155.295439588133
30.0,5707.363408345755
31.0,639.8583771033746
32.0,8232.181345860994
33.0,18672.964314618617
34.0,20568.364283376235
35.0,12968.89425213386
36.0,1254.980220891479
37.0,-2546.5428103509
38.0,5045.780158406722
39.0,16752.54612716434
40.0,19597.433095921962
41.0,9149.502064679584
42.0,-6995.3519665627955
43.0,-6682.430997805175
44.0,6923.309970952445
45.0,19579.562939710064
46.0,17044.023908467687
47.0,2798.1438772253086
48.0,-9232.26615401707
49.0,-12400.79718525945
50.0,-5757.961216501828
51.0,3733.3347522557924
52.0,3096.7697210134133
53.0,-9883.127310228965
54.0,-20964.050341471346
55.0,-19701.642372713726
56.0,-11792.824403956103
57.0,-12112.893435198483
58.0,-22244.329466440864
59.0,-28577.817497683238
60.0,-26365.92152892562
61.0,-20356.077560168
62.0,-9915.293591410376
63.0,-2006.4756226527563
64.0,-4858.510653895135
65.0,-15622.938685137515
66.0,-19424.460716379894
67.0,-10882.650747622272
68.0,-125.37177886465179
69.0,3036.011189892969
70.0,816.9671586505906
71.0,-1085.580872591789
72.0,809.819096165832
73.0,6819.663064923452
74.0,13146.003033681074
75.0,15041.403002438694
76.0,11239.880971196315
77.0,7438.357939953936
78.0,8067.775908711556
79.0,13761.123877469177
80.0,18188.489846226796
81.0,16285.94181498442
82.0,10901.94078374204
83.0,7100.418752499661
84.0,7096.844721257283
85.0,8675.748690014903
86.0,9938.157658772525
87.0,7719.113627530145
88.0,2335.112596287766
89.0,-3048.8874349546127
90.0,-5267.931466196992
91.0,-5904.4964974393715
92.0,-8756.53252868175
93.0,-13507.541559924128
94.0,-17942.055591166507
95.0,-21110.58562240889
96.0,-21747.151653651264
97.0,-20168.246684893646
98.0,-19538.829716136024
99.0,-20808.386747378405
100.0,-22077.94277862078
101.0,-19549.551809863162
102.0,-13856.203841105542
103.0,-8795.84687234792
104.0,-6900.446903590299
105.0,-7537.011934832679
106.0,-7224.089966075057
107.0,-3113.2199973174365
108.0,3529.614971440184
109.0,7007.493940197805
110.0,7320.414908955425
111.0,10165.301877713047
112.0,15542.15484647067
113.0,18387.04181522829
114.0,18066.972783985908
115.0,17746.902752743532
116.0,16477.34572150115
117.0,14891.293690258772
118.0,19635.154659016396
119.0,23746.024627774015
120.0,18362.023596531635
121.0,9175.09440163099
122.0,-5468.055093415072
123.0,-7767.873588461134
124.0,-256.32508350719763
125.0,1874.7954214467418
126.0,-3906.4750735993202
127.0,-10320.737568645383
128.0,-14203.034063691446
129.0,-15869.86055873751
130.0,-10257.28705378357
131.0,3584.1744511703673
132.0,6981.278956124306
133.0,-6079.392538921756
134.0,-16608.099033967817
135.0,-7514.072529013882
136.0,9175.849975940057
137.0,17003.893480893996
138.0,11539.118985847934
139.0,3225.882490801871
140.0,3458.028995755809
141.0,12868.551500709746
142.0,21962.578005663683
143.0,21878.22951061762
144.0,10716.53201557156
145.0,-2344.1394794745015
146.0,-4327.461974520565
147.0,3817.0775304333733
148.0,14177.08603538731
149.0,15991.711540341248
150.0,9577.450045295187
151.0,1264.2135502491253
